mitigate|vt.减轻，缓和，缓解，平息；
subsidize|vt.补贴，资助，补助，津贴；
scrutinize|vt.仔细检查，监视，详审，细察；vi.细阅；
utilize|vt.利用，使用，应用，发挥；
optimize|vt.优化，使最优化，充分利用；vi.优化；
premise|n.前提，假设，房屋，经营场所；vt.提出前提，假定；
provide|v.供应，提供，准备，规定；
profound|adj.深刻的，深远的，渊博的，极度的；n.深渊，深处；
account|n.账户，账目，描述，理由；v.解释，说明，认为，负责；
facet|n.方面，侧面，小平面，面；
exacerbate|vt.使恶化，加剧，激怒；
elaborate|adj.复杂的，详尽的，精心制作的；v.详细说明，详尽阐述，精心制作；
alleviate|vt.减轻，缓解，缓和；
affiliate|vt.使隶属于，使紧密联系；n.分支机构，附属机构；
facilitate|vt.促进，使容易，帮助，使便利；
rehabilitate|v.康复，修复，改造，恢复名誉；
prerequisite|n.先决条件，前提，必要条件；adj.必要的，必须的；
prioritize|vt.优先处理，按重要性排列，优先考虑；
perspective|n.视角，观点，远景，透视图；adj.透视的；
jurisdiction|n.司法权，管辖权，权限，管辖范围；
substantial|adj.大量的，实质的，结实的，重要的；n.重要部分，本质；
sustain|v.维持，支撑，承受，保持；
holistic|adj.整体的，全盘的，全面的，统一的；
enlighten|vt.启蒙，启迪，教导，阐明；
validate|vt.验证，确认，使生效，批准；
obsolete|adj.过时的，淘汰的，废弃的，陈旧的；
cohere|v.凝聚，团结，连贯，一致，附着；
whereby|adv.借以，由此，凭此，通过...方式；
verify|vt.核实，证明，查证，核对；
notify|vt.通知，告知，通报，宣布；
justify|vt.证明合理，辩护，辩解，证明...无罪；vi.证明合法；
quantify|v.量化，确定数量，用数量表示；
qualify|v.使合格，取得资格，限制，修饰；
specify|vt.指定，详细说明，明确规定，列举；
expend|v.花费，消耗，使用，支出；
exploit|vt.开发，利用，剥削，利用；n.功绩，业绩，英勇行为；
zealous|adj.热心的，热情的，积极的，热衷的；
dubious|adj.怀疑的，可疑的，不确定的，靠不住的；
ambiguous|adj.含糊的，不明确的，有歧义的，模棱两可的；
ubiquitous|adj.普遍存在的，无所不在的，随处可见的；
unanimous|adj.全体一致的，一致同意的，无异议的；
simultaneous|adj.同时的，同步的，同时发生的；
heterogeneous|adj.异质的，不同的，多样的，混杂的；
